Arguments,Description,Units
alpha_p,angular length of magnet in pu,pu
theta,rotor d-axis orientation,radians
p,Number of pole pairs,
muR,Magnet relative permeability,
Br,Magnet remanent field,T
r_fe,Outer radius of rotor iron,m
dm,Magnet thickness,m
delta,Magnetic airgap (includes sleeve if applicable),m
mag_dir,"Direction of magnetization, should be 'parallel' or 'radial'",
